"Rank","Value Rating","Model","Price (MSRP)","Signature","Comments","Tone Grade","Technical Grade"
"S-","★","Elysian Annihilator (2021)","3700","U-shaped","","S-","S"
"S-","★★","ThieAudio Monarch Mk2","1000","Neutral with bass boost","","S+","A+"
"S-","★★","Hidition Viento (B-mode, custom)","950","Variable","Best-in-class tuning and tonal balance with near-perfect coherency. Recommended as a custom-fit.","S+","A+"
"A+","★","Softears RS10","2100","U-shaped","A little shouty and intense but very resolving and well-defined. A somewhat refined Moondrop S8.","A+","S"
"A+","★","Sony IER-Z1R","1700","Mild V-shape","Extended yet natural treble, realistic sub-bass focus and spacious imaging capabilities.","A+","S-"
"A+","★","ThieAudio V16 Divinity","1500","Neutral with bass boost","","S-","A+"
"A+","★","Hidition NT6","1050","Neutral","If Etymotic made a multi-BA IEM, this would be the closest to that dream","S-","A+"
"A+","★","qdc 8SL/Gemini/Anole VX","1410 (8SL) 2180 (Gemini) 2560 (Anole VX)","Mild V-shape","Reference tuning with good tonality and top-level resolution. Similar tunings across top tier models.","A","S"
"A+","★★★","Moondrop Variations","520","U-shaped","Sub-bass-focused signature with Moondrop's clean tuning makes this one of the best $500 tribrids.","S","A"
"A+","★★","Sennheiser IE600","700","U-shaped","Well-tuned mids, powerful yet controlled sub-bass, with highly extended (and somewhat spicy) treble.","A+","A+"
"A+","","Oriolus Traillii","6000","Neutral with bass boost","","A+","A+"
"A","","ThieAudio Monarch","Discont.","Neutral with bass boost","Neutral with bass boost","S-","A"
"A","","Moondrop S8","Discont.","U-shaped","More faithful to the Harman target compared to the A8, with a smoother bass response.","S-","A"
"A","","StereoPravda SB7","2500","Bright neutral","Technically proficient but marred by a sharp timbre. Interesting concept.","A-","S"
"A","","64 Audio A/U12t","2000","Neutral with bass boost","Amazing bass (for a BA), top-tier resolution and detail-oriented signature.","A","A+"
"A","","Hidition Violet","3300","Neutral with bass boost","Strong sub-bass presence, slightly cut-back upper mids. A fun IEM through and through.","A","A+"
"A","","Empire Ears Odin","3400","Mild V-shape","A Legend X with the bass properly controlled and the resolution one step higher.","A","A+"
"A","","Vision Ears Erlkonig","4800","Variable","Good tonality, high resolution and an overall decent all-rounder.","A","A+"
"A","","Moondrop Blessing 2","Discont.","Mild V-shape","Very well tuned from bass to treble, perhaps lacking in the last octaves of extension.","A+","A"
"A","★★","ThieAudio Oracle","540","Neutral with bass boost","Functionally similar to the Clairvoyance with slight cutbacks in overall clarity and resolution.","S","A-"
"A","★","Softears RSV","730","Neutral with bass boost","Very well-balanced tonality with surprisingly good timbre, though slightly lacking definition.","S","A-"
"A","","Elysian X","4600","V-shaped","","A-","S-"
"A","","DUNU Talos","Discont.","Bright neutral","","A","A"
"A","★★★","7Hz Timeless","220","Neutral with bass boost","Easily the best-tuned planar IEM by a country mile, the Timeless is also no slouch on the technical front.","A","A"
"A","","Elysian Diva","1600","U-shaped","","A","A"
"A","","Moondrop A8","Discont.","V-shaped","An odd but surprisingly decent take on the Harman signature, with added midbass compared to the S8.","A","A"
"A","★","Symphonium Helios","1100","Neutral with bass boost","","A","A"
"A","","qdc Anole V14","2740","Variable","Rather bassy even in stock form; fun and engaging, though at the expense of sheer technical performance.","A","A"
"A-","","Vision Ears Elysium","3200","Mild V-shape","First decent implementation of Sonion's EST tweeters.","A-","A+"
"A-","","Kiwi Ears Orchestra","Discont.","Mild V-shape","Very well-tuned reference-y signature with a mild bass and treble emphasis for added energy.","A+","A-"
"A-","","Ultimate Ears Reference Monitor (UERM)","Discont.","Neutral","The benchmark of an era, dead-flat with an upper treble boost","A+","A-"
"A-","","ThieAudio Clairvoyance","Discont.","Neutral with bass boost","Inoffensive, pleasant tuning specialising in extremely balanced tonality and bass control.","S","B+"
"A-","","JVC HA-FW10000","2200","Bright neutral","Intense and shouty DF-style signature with solid resolution.","B+","S-"
"A-","","Softears Twilight","930","V-shaped","","A-","A"
"A-","","Sony IER-M9","1000","Warm neutral","Neutral tonality, highly coherent and decent detail pickup. The all-rounder of the IER lineup.","A-","A"
"A-","","qdc 8SS","1450","Neutral","The neutral ""studio monitor"" of qdc's 8-series of IEMs, lacking a bit in overall extension.","A-","A"
"A-","","Hidition NT8","1850","Neutral","Coloured neutral kind of sound that works better with Asian genres.","A-","A"
"A-","","Drop + JVC HA-FDX1","Discont.","Neutral","Highly technical sound with a clean, well-tuned neutral signature.","A","A-"
"A-","","Moondrop Blessing","Discont.","Bright neutral","All rounder that comes the closest to the Harman Target.","A","A-"
"A-","★","Kumitate KL-Sirius","815","Neutral","Excellent technical ability, well tuned with a dash of Japanese flavour.","A","A-"
"A-","","PEARS SH3","1100","Neutral","Great detail pickup and solid all-rounder, perhaps a little strident.","A","A-"
"A-","","Empire Ears ESR Mk2","1100","Warm neutral","Possibly the most pleasant-sounding of the Empire Ears lineup with decent detailing to boot.","A","A-"
"A-","","Kumitate KL-Focus","1600","U-shaped","Selectable bass response with the rest of the FR following a more ""Japanese reference"" tuning.","A","A-"
"A-","","64 Audio Tia Trio","2300","Neutral with bass boost","A more correct sounding version of the Fourte with slight cutbacks in staging and sheer resolution.","A","A-"
"A-","","Softears Turii","1400","Mild V-shape","Resolving and fairly well-tuned dynamic-driver IEM.","B+","A+"
"A-","","64 Audio A/U18 Tzar","3000","Warm neutral","A rather simple and ""mainstream"" tuning refined to a high level.","B+","A+"
"A-","","64 Audio Nio","1700","Variable","A decent bassy set with the m15/m20 modules, but really shines with the mX modules.","A+","B+"
"A-","★","DUNU Vulkan","380","U-shaped","","A+","B+"
"A-","","Hidition Waltz","900","Mild V-shape","Neutral-fun signature that works both as a reference monitor and a rock-out IEM.","A+","B+"
"A-","","Shure KSE1200","2000","Bright U-shape","Easily at the top in terms of resolution and definition, but comes with a big treble spike and slightly odd mids.","B","S+"
"A-","★★★","Tangzu Zetian Wu","150","Neutral with bass boost","","A-","A-"
"A-","","ThieAudio Excalibur","Discont.","V-shaped","Probably the weakest of the ThieAudio tribrids, but still great on its own.","A-","A-"
"A-","★","Etymotic ER4XR","350","Neutral","A more mainstream tuning of the ER4S/SR with slightly boosted bass.","A-","A-"
"A-","★","Sony IER-M7","500","Warm neutral","Balanced across the board, though doesn't seem to excel in any particular area.","A-","A-"
"A-","","Lime Ears Model X","1000","Variable","Technically capable IEM that goes from decently neutral to warm and smooth in a pinch.","A-","A-"
